ClPr,OPEN,prev_HIGH,prev_LOW,prev_VOLUME,2dayprice_change,SMA5,SMA10,SMA20
175.17,175.17,175.46,173.81,1845467,-2.74,176.254,177.141,177.3775
174.18,174.13,175.8,174.3,2272854,-2.08,175.942,176.809,177.2335
175.04,174.02,174.775,173.55,3106798,-0.61,175.414,176.359,177.0265
175.1,174.12,175.3,173.85,2820960,-1.15,174.926,176.014,176.893
175.76,176.08,176.2,173.9,1622756,-0.01,174.862,175.673,176.7365
177.07,175.62,176.4,175.1539,1247189,2.06,175.05,175.652,176.661
178.18,176.87,177.6,175.49,2145683,1.5,175.43,175.686,176.6855
179,178.3,178.55,176.87,2009742,0.79,176.23,175.822,176.7
181.02,179.86,179.58,178.19,1392438,2.68,177.022,175.974,176.778
181.6,180.86,181.38,179.26,1929821,2.99,178.206,176.534,176.9595
181.7,180.3,182,180.65,2036188,2.56,179.374,177.212,177.1765
183.41,181.75,181.833,180.1509,1762914,0.44,180.3,177.865,177.337
182.95,183.43,183.46,181.615,2164045,0.89,181.346,178.788,177.5735
183.37,182.79,183.6,182.53,1961456,3.13,182.136,179.579,177.7965
186.04,183.4,183.62,182.04,1736345,1.04,182.606,180.406,178.0395
187.19,185.91,186.12,183.08,2850946,-0.03,183.494,181.434,178.543
187.41,186.82,187.455,185.71,2401641,3.12,184.592,182.446,179.066
186.91,187.5,188.41,186.3,2126138,3.42,185.392,183.369,179.5955
186.35,186.73,187.55,186.375,1393808,1.59,186.184,184.16,180.067
189.86,188.08,187.5,186.31,1932120,-0.09,186.78,184.693,180.6135
189.89,189.46,190.54,188.01,2226206,0.58,187.544,185.519,181.3655
189.31,189.85,190.1,189.03,1763962,2.73,188.084,186.338,182.1015
188.9,188.93,190.24,188.54,1627706,1.77,188.464,186.928,182.858
189.09,188.29,189.24,188.27,1668743,-0.53,188.862,187.523,183.551
189.51,189.72,189.26,188.25,1661986,-1.56,189.41,188.095,184.2505
189.9,189.25,190.2061,188.97,1565272,0.79,189.34,188.442,184.938
191.21,190.64,190.3899,189.17,1556675,0.96,189.342,188.713,185.5795
191.52,191.77,191.24,190.0312,2514991,0.92,189.722,189.093,186.231
190.33,190.93,191.96,190.46,1972733,2.52,190.246,189.554,186.857
191.2,190.18,191.44,189.11,1893619,0.29,190.494,189.952,187.3225
190.31,191.06,191.86,189.72,2046978,-1.59,190.832,190.086,187.8025
192.36,190.82,191.64,189.6379,1937139,0.13,190.914,190.128,188.233
193.01,192.52,192.36,190.35,4228102,0.64,191.144,190.433,188.6805
192.13,193.49,193.5,192.28,2085593,1.46,191.442,190.844,189.1835
192.22,192.3,193.49,191.51,1895059,2.67,191.802,191.148,189.6215
192.14,192.12,192.88,190.46,1627326,-0.22,192.006,191.419,189.9305
191.51,192.12,192.97,191.23,1481951,-1.37,192.372,191.643,190.178
190.43,190.7,192.62,190.901,1435374,-0.18,192.202,191.673,190.383
190.99,189.94,191,189.16,1984622,-1.42,191.686,191.564,190.559
190.68,190.59,191.49,189.6,2330159,-2.18,191.458,191.63,190.791
191.28,190.74,191.28,190.26,1692204,-0.11,191.15,191.578,190.832
191.33,191.3,191.49,190.1,1835414,0.8,190.978,191.675,190.9015
190.72,191.87,192.4,190.99,1730048,0.71,190.942,191.572,191.0025
190.19,190.57,192.17,189.95,1546695,1.13,191,191.343,191.0935
190.24,190.7,190.98,189.78,1349899,-0.73,190.84,191.149,191.1485
189.89,190.41,192.42,190.04,1448737,-1.17,190.752,190.951,191.185
189.99,190.03,191.02,189.5,1627375,-0.16,190.474,190.726,191.1845
189.71,190.16,190.56,189.52,1025166,-0.67,190.206,190.574,191.1235
190.07,189.13,190.5156,189.31,1682689,-0.25,190.004,190.502,191.033
189.7,190.31,190.09,188.99,1459582,-0.9,189.98,190.41,191.02
188.65,189.25,190.49,189.4,1416141,0.15,189.872,190.312,190.945
190.36,189.31,189.86,188.62,1274376,0.12,189.624,190.049,190.862
190.22,189.76,190.36,189.29,1543558,-1,189.698,189.952,190.762
189.83,190.8,190.84,189.5052,1176884,0.51,189.8,189.902,190.6225
191.16,190.02,191.13,189.52,1340386,1.49,189.752,189.866,190.5075
191.5,191.15,192.11,189.904,1748179,0.26,190.044,189.958,190.4545
194.23,193,191.62,190.59,2584194,0.35,190.614,190.119,190.4225
195.13,193.99,194.45,192.93,2709554,2.98,191.388,190.543,190.5585
195,195.7,195.61,192.36,4182229,2.84,192.37,191.085,190.7935
196.11,195.43,196.9,194.99,2641226,2.7,193.404,191.578,190.994
195.83,196.15,196.54,195.11,1770896,1.44,194.394,192.219,191.2655
194.81,195.5,197.12,195.54,2467076,0.45,195.26,192.937,191.493
196.53,195.16,195.73,194.471,1498630,0.07,195.376,193.382,191.667
197.63,196.6,196.53,194.58,2467164,-0.99,195.656,194.013,191.9575
199.51,198.3,197.87,195.71,2339647,1.1,196.182,194.793,192.3295
199.4,199.67,199.54,197.76,2321297,3.14,196.862,195.628,192.793
198.65,198.84,199.9,198.98,1688558,3.07,197.576,196.418,193.2685
197.96,199.36,199.15,198.3,1576134,0.54,198.344,196.86,193.7015
196.64,197.37,199.36,197.53,1747761,-0.31,198.63,197.143,194.114
196.75,196.04,197.59,196.53,2248260,-1.47,198.432,197.307,194.4425
196.57,195.9,196.94,195.26,1704992,-3.32,197.88,197.371,194.795
197.63,196.67,197.12,195.86,1323128,-1.47,197.314,197.445,195.191
197.91,197.48,197.74,196.23,1466690,0.63,197.11,197.727,195.5545
194.84,195.39,197.94,196.86,1183560,1.58,197.1,197.865,195.939
195.24,194.5,195.91,194.72,1881826,-1.28,196.74,197.586,196.1895
195.8,196.3,195.82,193.54,1928994,-2.98,196.438,197.159,196.3935
198.51,196.35,196.3,194.45,1894690,0.91,196.284,196.799,196.6085
197.73,198.73,198.672,196.35,1836024,1.85,196.46,196.785,196.8225
197.49,198.49,198.97,197.52,1514199,2.43,196.424,196.762,196.9525
199.54,198.41,198.53,197.28,1291463,2.14,196.954,196.847,197.077
200.67,199.14,199.61,197.75,1508025,-0.32,197.814,197.126,197.2485
202.44,200.31,200.69,198.9722,1410620,0.65,198.788,197.536,197.4905
204.47,202.73,203.03,199.96,2171094,1.9,199.574,198.017,197.872
204.35,204.25,204.47,202.27,3096767,3.59,200.922,198.673,198.269
206.7,205.06,204.9,203.68,2352733,3.94,202.294,199.624,198.605
206.22,206.77,207.39,204.79,1831928,2.33,203.726,200.77,198.9645
205.41,206.01,207.33,206.22,1253148,2.52,204.836,201.812,199.3055
205.01,205.73,206.66,205.41,1458772,0.95,205.43,202.502,199.6435
205.94,204.84,205.87,204.1,1885635,-1.04,205.538,203.23,199.996
206.93,206,206.03,204.09,2451348,-1.17,205.856,204.075,200.461
207.39,207.06,206.97,205.64,1893492,0.27,205.902,204.814,200.97
209.11,207.58,208.42,205.5,2388199,2.22,206.136,205.486,201.511
210.01,209.78,209.665,207.559,1688785,1.58,206.876,206.153,202.085
211.29,209.5,210.785,209.53,1585193,2.72,207.876,206.707,202.69
213.24,211.73,211.32,209.44,1594060,1.92,208.946,207.401,203.5125
213.36,214,213.46,211.44,3420608,1.95,210.208,208.055,204.4125
213.36,213.45,214,212.7,1667639,4.5,211.402,208.769,205.2905
212.86,214.02,214.57,213.05,1531242,1.72,212.252,209.564,206.033
212.22,212.73,214.02,212.09,1812903,0.02,212.822,210.349,206.7895
212.9,212,213.12,212.09,1400401,-0.72,213.008,210.977,207.526
212.61,212.79,213.17,211.71,1584876,-2.02,212.94,211.574,208.194
209.78,212,213.47,212.31,1352092,0.06,212.79,212.096,208.791
210.62,210.78,212.5,209.38,2240166,0,212.074,212.163,209.158
207.85,211.05,211.175,210.09,1542943,-2.01,211.626,212.224,209.4655
208.19,209.91,211.05,207.08,1809919,-0.95,210.752,211.88,209.6405
209.83,209.14,209.91,207.85,1769958,-0.87,209.81,211.375,209.715
209.76,210,210.34,208.75,1040334,-1.91,209.254,211.022,209.8955
208.02,209.05,210.24,209.41,1065328,0.09,209.25,210.662,210.113
209.59,208.5,209.72,207.89,1189853,-0.09,208.73,210.178,210.2635
210.49,209.6,210.15,208.045,1531004,-1.5,209.078,209.915,210.446
209.66,210.41,211.74,208.99,1308603,0.55,209.538,209.674,210.624
211.3,210.91,211.2,208,1268059,1.91,209.504,209.379,210.7375
211.09,211.2,212.78,210.27,1447890,1.31,209.812,209.531,210.847
211.77,211.52,212,210.18,1138838,0.79,210.426,209.578,210.901
211.68,212.2,212.24,210.63,1061971,0.61,210.862,209.97,210.925
211.31,210.68,212.2,210.59,1310862,1,211.1,210.319,210.847
212.1,211.51,211.52,210.3,1562553,-0.84,211.43,210.467,210.7445
212.45,212.21,212.105,211.17,825309,-0.69,211.59,210.701,210.6815
211.16,211.65,213.41,212.06,1347413,1.53,211.862,211.144,210.661
210,211.2,211.84,209.48,2246238,0.14,211.74,211.301,210.608
199.39,202.65,211.659,210,2164786,-1.01,211.404,211.252,210.463
199.03,200.45,204.5,197.1726,6593035,-9,209.02,210.225,209.802
200.05,199.14,201.15,198.55,2922097,-10.75,206.406,208.998,209.2645
199.72,200.79,200.56,197.67,2175148,-3.51,203.926,207.894,208.736
201.17,200,201.04,198.69,1488022,0.34,201.638,206.689,208.3295
203.18,202.29,201.66,199.8101,1833625,0.86,199.872,205.638,207.9785
205.41,203.19,203.31,201.76,2015108,1.5,200.63,204.825,207.646
207.62,205.91,205.6,202.82,2029646,3.19,201.906,204.156,207.4285
207.65,207.95,207.64,205.12,2054162,3.62,203.42,203.673,207.4085
207.44,207.9,208.61,206.11,1522668,4.76,205.006,203.322,207.3115
206.43,206.83,208.3997,206.68,1172563,1.99,206.26,203.066,207.159
206.48,206.69,207.89,205.6938,1856282,-1.12,206.91,203.77,206.9975
206.23,205.62,207.91,205.59,1622213,-1.21,207.124,204.515,206.7565
205.98,206.85,207.16,205.18,1570849,-1.21,206.846,205.133,206.5135
207.37,206.66,206.85,205.63,1452811,0.16,206.512,205.759,206.224
207.18,207,207.63,206.07,1264439,1.04,206.498,206.379,206.0085
207.92,207.21,207.84,206.51,1048508,0.15,206.648,206.779,205.802
205.35,207.79,208.63,206.615,1704161,0.55,206.936,207.03,205.593
203.53,205.35,208.1219,205.28,1396492,0.79,206.76,206.803,205.238
204.55,203.8,205.63,203.45,1838640,-1.86,206.27,206.391,204.8565
205.46,205.2,204.9,203.01,1567560,-3.99,205.706,206.102,204.584
202.67,204.05,205.86,204.63,2091246,-0.15,205.362,206.005,204.8875
202.12,203.89,204.1,202.32,1267265,0.25,204.312,205.624,205.0695
202.13,203.44,203.89,201.96,1230772,-1.31,203.666,205.213,205.173
202.46,202.78,203.45,202.05,1238228,-0.61,203.386,204.828,205.2935
202.92,202.2,203.27,201.85,1174724,-1.11,202.968,204.337,205.358
203.69,202.92,203.08,201.3322,991241,-1.24,202.46,203.911,205.345
204.32,204.32,203.69,202,1196205,0.14,202.664,203.488,205.259
203.56,204.61,204.6199,203.02,1567911,2.12,203.104,203.385,205.094
200.98,202.25,204.91,203.23,1413014,1.69,203.39,203.388,204.8895
202.05,201.75,202.53,200.51,1936090,-2.07,203.094,203.031,204.5665
204.46,201.47,202.25,201.24,2236180,-2.86,202.92,202.69,204.3475
205.69,204.35,204.71,201.47,1701542,-0.78,203.074,202.869,204.2465
209.56,206.46,206.12,203.16,1473989,2.6,203.348,203.226,204.2195
209.64,209.91,209.775,206.09,1806743,4.99,204.548,203.969,204.3985
209.49,209.12,210.96,209.26,1441453,5.56,206.28,204.687,204.512
211.43,209.15,210.29,208.57,1129646,2.66,207.768,205.344,204.6275
213.35,212.59,211.91,208.74,1984226,-0.76,209.162,206.118,204.803
213.76,214,214.115,210.66,3636437,3.47,210.694,207.021,205.203
213.56,214.23,214.038,212.57,1272436,4.85,211.534,208.041,205.7145
210.51,211.77,214.65,212.85,1429651,1.64,212.318,209.299,206.165
210.44,210.9,212.6,208.31,2987204,-2.23,212.522,210.145,206.4175
210.76,209.64,211.62,210.24,1382444,-3.33,212.324,210.743,206.806
210.73,210.98,211.3,209.28,1493283,-2.13,211.806,211.25,207.238
211.03,211.26,211.22,209.37,1609155,0.08,211.2,211.367,207.668
209.48,211.09,212.83,210.93,1224603,1.62,210.694,211.506,208.0965
209.55,208.3,211.38,208.16,1865144,0.11,210.488,211.505,208.4245
209.9,209.06,209.88,208.2519,2092763,-2.96,210.31,211.317,208.7175
212.76,210.73,209.9,208.73,1632249,-2.03,210.138,210.972,208.9965
214.57,212.62,212.79,210.03,1292105,2.43,210.544,210.872,209.4565
216.52,214.85,214.6,211.38,1634831,3.56,211.252,210.973,210.136
216.37,216.49,216.94,214.5,1636437,4.12,212.66,211.574,210.8595
216.52,216,217.61,215.9002,1740484,3.87,214.024,212.167,211.455
216.68,215.96,216.54,215.27,1650834,1.15,215.348,212.743,211.9965
216.75,217.38,217.21,215.69,1054620,-0.53,216.132,213.338,212.3525
216.51,216.75,217.6,216.55,1171324,1.38,216.568,213.91,212.708
217.59,216.6,216.86,214.66,2052893,0.79,216.566,214.613,213.059
217.72,218.83,217.64,216.29,1907960,-0.78,216.81,215.417,213.367
218.72,217.7,219.76,216.8,1461703,2.08,217.05,216.199,213.5855
217.75,218.49,218.73,217.2,1185228,1.1,217.458,216.795,213.8335
218.27,217.52,218.72,216.47,2150810,-0.34,217.658,217.113,214.043
219.24,218.49,218.64,217.37,1413913,-0.18,218.01,217.288,214.431
221.32,219.95,219.25,217.47,1368120,0,218.34,217.575,214.871
221.55,221.76,221.32,219.19,1647816,2.43,219.06,218.055,215.399
234.65,229,222.78,221.2,2161285,3.27,219.626,218.542,215.94
237.91,235.01,238.9,228.99,6508211,9.05,223.006,220.332,217.121
232.94,238.26,237.94,233.94,3405547,13.25,226.934,222.472,218.5425
234.74,234.23,238.8,232.31,3384478,9.26,229.674,224.007,219.712
231.02,233.66,234.95,232.55,2000365,-0.78,232.358,225.709,220.954
230.19,231.38,233.66,230.64,2722556,-4.6,234.252,226.939,221.867
230.18,231,231.5975,229.81,1908157,-2.85,233.36,228.183,222.648
232.23,230.24,231.76,229.11,1389916,-2.66,231.814,229.374,223.331
232.22,231.56,232.8,229.55,1609472,-1.14,231.672,230.673,224.124
230.31,232.22,232.58,230.92,1582704,0.56,231.168,231.763,224.909
230.05,230.38,232.63,230.15,1334883,1.98,231.026,232.639,225.5905
229.83,229.84,230.77,229.14,1553571,-1.18,230.998,232.179,226.2555
228.39,228.54,230.65,229.38,1510210,-2.38,230.928,231.371,226.9215
227.45,227.47,229.4,227.05,1568600,-1.84,230.16,230.916,227.4615
228.22,226.73,228.44,226.16,1295822,-2.37,229.206,230.187,227.948
229.33,228.14,228.43,226.26,1765222,-1.81,228.788,229.907,228.423
227.4,228.07,229.96,226.75,1393163,0.67,228.644,229.821,229.002
229.42,227.79,228.51,226.04,1512124,1.34,228.158,229.543,229.4585
229.36,228.43,229.99,227.79,1225143,-0.35,228.364,229.262,229.9675
231.49,229.9,229.92,227.74,1741844,0.36,228.746,228.976,230.3695
234.09,232.21,233.59,229.5543,1699816,2.11,229.4,229.094,230.8665
231.58,233.06,235.71,232.21,2122612,3.78,230.352,229.498,230.8385
231.38,232.03,233.86,231.4,1371820,3.16,231.188,229.673,230.522
234,231.75,232.04,230.81,659116,-0.18,231.58,229.972,230.444
235.63,234.12,234.5289,231.13,1780831,-1.31,232.508,230.627,230.407
238.01,236.05,235.94,233.375,1871691,2.09,233.336,231.368,230.6375
243.14,238.86,238.19,235.64,1754394,4.3,234.12,232.236,231.0285
241.15,243.19,243.45,237.69,4002437,4.74,236.432,233.81,231.6765
239.26,243.05,243.63,239.15,2232292,7.14,238.386,234.983,232.1225
238.26,240.22,244.23,238.51,2468747,4.19,239.438,235.973,232.4745
238.67,238.96,240.26,237.86,1543709,-2.97,239.964,236.65,232.872
240.3,238.45,241.08,236.97,1924006,-4.09,240.096,237.108,233.303
238.13,240,241.29,237.93,1367270,-1.77,239.528,237.98,233.8265
239.3,238.85,241.01,237.49,1999639,1.04,238.924,238.655,234.3135
236.58,241.55,240.21,237.86,1742882,0.4,238.932,239.185,234.906
239.11,236.91,241.68,236.12,2765496,1.55,238.596,239.28,235.324
238.08,239.895,239.59,236.63,2707874,-1.94,238.684,239.39,235.813
238,239,240.8,237.81,1984720,-1.655,238.24,238.884,236.347
238.42,239.81,239.68,237.65,4518732,2.09,238.214,238.569,236.776
238.39,239.205,240.01,237.145,2237313,-0.085,238.038,238.485,237.229
236.92,238.14,239.74,236.9,1868916,0.205,238.4,238.498,237.574
234.78,236.95,238.47,236.49,1621638,-1.67,237.962,238.323,237.7155
234.73,234.57,237.25,234.41,2240586,-2.255,237.302,237.771,237.8755
235.45,235.08,236.08,234.28,1280557,-3.57,236.648,237.431,238.043
236.2,235.52,236.28,235.03,789090,-1.87,236.054,237.046,238.1155
235.72,236.94,236.54,234.84,970508,0.95,235.616,237.008,238.144
235.37,236.48,237.08,235.28,1189738,1.86,235.376,236.669,238.0295
235.64,235.78,237.31,235.37,1343878,0.96,235.494,236.398,237.641
235.63,235.07,237.07,232.805,2930951,-1.16,235.676,236.162,237.3655
238.71,237,235.73,233.29,2193713,-1.41,235.712,235.883,237.184
240.57,238.65,239.44,236.47,2243101,1.22,236.214,235.915,237.2065
239.79,239.38,240.9,237.74,1835609,3.58,237.184,236.28,237.3015
241.28,239.6,240.94,239.18,1869025,2.38,238.068,236.781,237.276
241.14,241,241.7845,239.34,1695114,0.95,239.196,237.436,237.4335
242.31,240.74,242.57,240.03,1640853,1.62,240.298,238.005,237.5255
244.47,243.07,242.34,239.75,1487650,1.14,241.018,238.616,237.812
244.74,245.3,246,242.5,1974293,2.07,241.798,239.491,238.08
248.11,246.85,247.19,243.83,2411131,4.56,242.788,240.428,238.413
245.91,248.13,248.53,245.8,2519000,3.78,244.154,241.675,238.9185
248.18,246.63,249,244.92,2233417,2.83,245.108,242.703,239.293
247.3,247.13,248.5,245.6,2013467,-0.22,246.282,243.65,239.7825
246.31,246.91,247.89,245.08,1660506,-1,246.848,244.323,240.3015
247.69,247.99,247.26,245.12,1822654,0.28,247.162,244.975,240.878
252.36,250,248.54,246.25,3471044,0.86,247.078,245.616,241.526
258.63,253.43,254.8,247.1,3507873,3.09,248.368,246.738,242.3715
256.01,258.51,259.77,253.39,3730628,5.44,250.458,248.37,243.493
251.54,255.6,259.34,255.97,2306292,8.51,252.2,249.524,244.5075
250.5,251.49,255.69,251.41,2412632,2.17,253.246,250.204,245.316
247.94,247.44,253.13,249.6,3136406,-7.02,253.808,250.443,246.059
245.17,246.43,250.09,246.1795,2665501,-8.16,252.924,250.646,246.6745
231.44,243.5,248.75,244.88,3925431,-5.06,250.232,250.345,246.9975
233.63,227.51,244.4,226.01,6590490,-3.94,245.318,248.759,246.541
233.19,233.19,234.57,226.81,5108142,-18.92,241.736,247.491,246.233
222.89,233.16,237.52,232.821,2885570,-10.31,238.274,246.041,245.8285
225.21,224.61,233.31,222.65,3751281,5.65,233.264,243.094,244.916
229.19,227.49,226.96,218.18,4517965,-8.58,229.272,239.752,244.061
231.36,229.71,230.38,226.1,3290351,-5.67,228.822,237.07,243.297
232,229.45,231.97,228.93,2523388,5.1,228.368,235.052,242.628
234.87,233.31,232.87,228.47,2337783,1.96,228.13,233.202,241.8225
236.67,234.97,234.9,230.88,2127496,3.6,230.526,231.895,241.2705
235.07,234.54,238.435,233.39,2221752,5.52,232.818,231.045,240.695
232.18,234.71,236.67,233.91,2675916,1.23,233.994,231.408,240.0835
236,232.43,237.86,232.1,2561377,-0.26,234.158,231.263,239.377
237.02,236.85,237.37,232.26,2284538,-2.11,234.958,231.544,238.7925
244.14,239.01,237.89,234.39,1616606,2.14,235.388,232.957,238.0255
240.78,244.61,244.86,238.51,3086334,6.58,236.882,234.85,237.301
235.51,241.64,244.67,240.72,1778154,7.76,238.024,236.009,236.5395
231.34,236.15,242.28,235.4,2461376,2.63,238.69,236.424,235.738
230.37,229.75,236.83,229.53,3487126,-8.46,237.758,236.358,234.78
232.81,230,231.27,226.33,2912828,-11.89,236.428,235.908,233.9015
233.66,234.05,233.71,228.53,2235348,-6.15,234.162,235.522,233.2835
235.57,231.22,235.92,230.8,2089047,4.3,232.738,235.381,233.3945
236.34,236.35,236.22,230.59,2213792,1.22,232.75,235.72,233.4915
241.35,238,237.69,234.12,1955197,2.3,233.75,235.754,233.649
239.8,242.1,241.37,236.17,1840871,6.78,235.946,236.187,234.572
237.57,240.9,243.0999,239.301,2151266,5.75,237.344,235.753,235.3015
234.29,238.8,242.97,236.891,2009828,2.9,238.126,235.432,235.7205
235.87,235.22,239.32,233.85,2239704,-3.3,237.87,235.31,235.867
237.22,235.67,238.08,234.2,1770516,-5.68,237.776,235.763,236.0605
231.56,236.01,238.17,235.67,4858043,-3.13,236.95,236.448,236.178
232.45,232.12,236.33,230.26,2621661,0.79,235.302,236.323,235.9225
234.14,233,234.39,231.58,1727967,-3.55,234.278,236.202,235.7915
223.17,232.04,237.22,232.31,1588258,-3.01,234.248,236.059,235.8895
215.36,223.5,232.12,222.8,4295470,-0.08,231.708,234.742,235.248
220.24,217.86,224.27,215.27,4221155,-9.5,227.336,232.143,234.165
215.87,221.02,220.8,215.18,3573985,-14.18,225.072,230.187,232.97
216.54,217.23,221.86,214.73,2696665,-2.48,221.756,228.017,231.7245
219.52,217.79,219.66,214.91,2522861,-0.63,218.236,226.242,230.776
212.62,218.05,221.38,217.46,2643041,-3.23,217.506,224.607,230.185
216.33,213,218.72,209.468,3840833,0.82,216.958,222.147,229.2975
217.56,212.39,216.46,210.93,3006725,-4.79,216.176,220.624,228.4735
218.67,218.64,217.9225,211.12,2488876,-5.66,216.514,219.135,227.6685
212.25,217.4,220.31,216.56,2879902,5.64,216.94,217.588,226.8235
212.81,213.75,218.85,211,2503665,5.01,215.486,216.496,225.619
216.98,215.32,216.86,212.4,2186066,-4.89,215.524,216.241,224.192
214.33,214.201,218.71,215.23,2877251,-2.08,215.654,215.915,223.051
216.42,215.72,215.89,213.4982,1818160,0.451,215.008,215.761,221.889
215.52,218.09,217.68,215.01,2292619,0.4,214.558,215.749,220.9955
217.7,217.2,218.68,214.46,2030412,3.889,215.212,215.349,219.978
220.09,219.15,219.27,216.59,2060517,1.48,216.19,215.857,219.002
219.52,220.39,221.69,218.74,1853514,1.06,216.812,216.233,218.4285
218.85,218.04,221.01,219.16,1599250,3.19,217.85,216.429,217.782
217.75,218.41,219.3,217.03,1453121,-1.11,218.336,216.447,217.0175
215.88,218.02,220.28,216.74,2634318,-1.98,218.782,216.997,216.7465
201.13,206.5,218.73,214.75,2520548,-0.02,218.418,217.304,216.7725
198.84,201.1,206.5,196.89,11670476,-11.91,214.626,215.719,215.817
197.09,198.68,201.75,197.01,6204698,-16.92,210.49,214.17,214.9655
196.12,196.77,199.6275,196.17,4123843,-7.82,206.138,212.237,213.993
194.39,196.96,197.11,194.4,3354712,-4.33,201.812,210.297,212.823
195.02,194.03,198.34,194.18,4008509,-1.72,197.514,207.966,211.9115
